ein,ccn_count,hospital_name,hcris_charity_care_cost,hcris_uncompensated_care_cost,hcris_total_operating_expenses,hcris_fy_end_dt,svi_overall_pct,svi_socio_pct,svi_household_pct,svi_minority_pct,svi_housing_pct,sched_h_organization_name,sched_h_tax_period_end,sched_h_financial_assistance_at_cost,sched_h_total_community_benefit,sched_h_total_expenses,charity_gap,community_benefit_pct_of_expenses
580566213,1,PIEDMONT HOSPITAL INC.,45167015,52953877,1364294954,2024-06-30,66,56,23,93,85,PIEDMONT HOSPITAL INC,2023-06-30,17693662,52515556,1355182449,27473353,0
910939479,10,SACRED HEART MED CTR - UNIVERSITY,81177297,94938970,3440791041,2024-06-30,66,50,49,53,89,PEACEHEALTH,2023-06-30,54021441,319382533,3555611223,27155856,0
566017737,2,WAKEMED RALEIGH CAMPUS,89357830,121362851,1579331651,2023-09-30,36,25,32,80,43,WakeMed,2023-09-30,116034706,136165408,2092838776,-26676876,0
593238634,1,MOFFITT CANCER CENTER,0,123380,1843099905,2024-06-30,78,73,49,89,79,H LEE MOFFITT CANCER CENTER AND,2023-06-30,26674853,66174739,1622473343,-26674853,0
750818178,1,TEXAS SCOTTISH RITE HOSPITAL FOR CHI,0,0,0,2023-09-30,89,93,72,97,72,Texas Scottish Rite Hospital for Crippled Children,2023-09-30,26552358,102462326,276836732,-26552358,inf
741166904,1,SCOTT AND WHITE MEMORIAL HOSPITAL,72152696,84260029,2106936951,2024-08-31,94,89,89,90,88,Scott & White Memorial Hospital,2023-06-30,48325622,142640981,1378273525,23827074,0
720423651,3,SURGICAL SPECIALTY CENTER BATON ROUG,27230330,48158031,1512282873,2024-06-30,85,79,63,90,85,OUR LADY OF THE LAKE HOSPITAL INC,2023-06-30,3449685,41399308,1591541146,23780645,0
911858433,2,BELLEVUE MEDICAL CENTER,39562766,55455056,2479982475,2024-06-30,34,24,49,62,37,The Nebraska Medical Center,2023-06-30,16246065,370305091,2040013770,23316701,0
910564491,5,HIGHLINE MEDICAL CENTER,42779953,55029418,1766468275,2024-06-30,54,35,47,74,74,FRANCISCAN HEALTH SYSTEM,2023-06-30,20931998,187563408,1732889119,21847955,0
231689692,1,LEHIGH VALLEY,27833874,43399330,3328081627,2024-06-30,73,58,71,77,75,LEHIGH VALLEY HOSPITAL,2023-06-30,6056361,291635945,3080765011,21777513,0
912155626,4,HEALTHALLIANCE-CLINTON,27791018,42785092,2940210780,2023-09-30,51,34,41,63,74,UMass Memorial Health Care Inc & Affiliates,2023-09-30,6388549,381229447,3580384522,21402469,0
521362793,1,UNIVERSITY OF MARYLAND MED SYS,0,0,1224714940,2024-01-31,86,81,62,97,85,University of Maryland Medical System Corporation,2023-06-30,21124030,260975315,2149624123,-21124030,0
311439334,3,ST. ANNS HOSPITAL,39302025,49980465,1279234294,2024-06-30,65,54,53,78,70,MOUNT CARMEL HEALTH SYSTEM,2023-06-30,18285081,121301867,1412329535,21016944,0
741303720,1,BAPTIST BEAUMONT HOSPITAL,28224028,31305727,373577128,2024-08-31,97,93,92,93,93,Baptist Hospitals of Southeast Texas,2023-06-30,7428535,9362915,344607263,20795493,0
352528741,4,VANDERBILT UNIVERSITY MEDICAL CENTER,143286885,166201776,7266410607,2024-06-30,68,67,67,55,37,Vanderbilt University Medical Center,2023-06-30,162947963,616426371,6812818433,-19661078,0
060646659,1,GREENWICH HOSPITAL,3984548,8616527,531299537,2023-09-30,,,,,,GREENWICH HOSPITAL,2023-09-30,23567829,56070872,534503374,-19583281,0
